,name,text
307,Chandra's Revolution,Chandra's Revolution deals 4 damage to target creature. Tap target land. That land doesn't untap during its controller's next untap step.
308,Destructive Tampering,"Choose one —
• Destroy target artifact.
• Creatures without flying can't block this turn."
309,Indomitable Creativity,"Destroy X target artifacts and/or creatures. For each permanent destroyed this way, its controller reveals cards from the top of their library until an artifact or creature card is revealed and exiles that card. Those players put the exiled cards onto the battlefield, then shuffle."
310,Kari Zev's Expertise,"Gain control of target creature or Vehicle until end of turn. Untap it. It gains haste until end of turn.
You may cast a spell with mana value 2 or less from your hand without paying its mana cost."
311,Release the Gremlins,Destroy X target artifacts. Create X 2/2 red Gremlin creature tokens.
312,Wrangle,Gain control of target creature with power 4 or less until end of turn. Untap that creature. It gains haste until end of turn.
313,Monstrous Onslaught,"Monstrous Onslaught deals X damage divided as you choose among any number of target creatures, where X is the greatest power among creatures you control as you cast this spell."
314,Prey Upon,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
315,Rishkar's Expertise,"Draw cards equal to the greatest power among creatures you control.
You may cast a spell with mana value 5 or less from your hand without paying its mana cost."
316,Dark Intimations,"Each opponent sacrifices a creature or planeswalker, then discards a card. You return a creature or planeswalker card from your graveyard to your hand, then draw a card.
When you cast a Bolas planeswalker spell, exile Dark Intimations from your graveyard. That planeswalker enters the battlefield with an additional loyalty counter on it."
317,Inspiring Roar,Put a +1/+1 counter on each creature you control.
318,Tezzeret's Betrayal,"Destroy target creature. You may search your library and/or graveyard for a card named Tezzeret, Master of Metal, reveal it, and put it into your hand. If you search your library this way, shuffle."
319,Valiant Endeavor,Roll two d6 and choose one result. Destroy each creature with power greater than or equal to that result. Then create a number of 2/2 white Knight creature tokens with vigilance equal to the other result.
320,Arcane Endeavor,Roll two d8 and choose one result. Draw cards equal to that result. Then you may cast an instant or sorcery spell with mana value less than or equal to the other result from your hand without paying its mana cost.
321,Danse Macabre,"Each player sacrifices a nontoken creature. Roll a d20 and add the toughness of the creature you sacrificed this way.
1—14 | Return a creature card put into a graveyard this way to the battlefield under your control.
15+ | Return up to two creature cards put into graveyards this way to the battlefield under your control."
322,Reckless Endeavor,Roll two d12 and choose one result. Reckless Endeavor deals damage equal to that result to each creature. Then create a number of Treasure tokens equal to the other result.
323,Wild Endeavor,"Roll two d4 and choose one result. Create a number of 3/3 green Beast creature tokens equal to that result. Then search your library for a number of basic land cards equal to the other result, put them onto the battlefield tapped, then shuffle."
324,Extract Brain,Target opponent chooses X cards from their hand. Look at those cards. You may cast a spell from among them without paying its mana cost.
325,Fevered Suspicion,"Each opponent exiles cards from the top of their library until they exile a nonland card. You may cast any number of spells from among those nonland cards without paying their mana costs.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
326,Winds of Rath,Destroy all creatures that aren't enchanted. They can't be regenerated.
327,Consuming Vapors,"Target player sacrifices a creature. You gain life equal to that creature's toughness.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
328,Hex,Destroy six target creatures.
329,Necromantic Selection,"Destroy all creatures, then return a creature card put into a graveyard this way to the battlefield under your control. It's a black Zombie in addition to its other colors and types. Exile Necromantic Selection."
330,Phthisis,"Destroy target creature. Its controller loses life equal to its power plus its toughness.
Suspend 5—{1}{B} (Rather than cast this card from your hand, you may pay {1}{B} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
331,Victimize,"Choose two target creature cards in your graveyard. Sacrifice a creature. If you do, return the chosen cards to the battlefield tapped."
332,Apex of Power,"Exile the top seven cards of your library. Until end of turn, you may cast spells from among them.
If this spell was cast from your hand, add ten mana of any one color."
333,Chain Reaction,"Chain Reaction deals X damage to each creature, where X is the number of creatures on the battlefield."
334,Disrupt Decorum,"Goad all creatures you don't control. (Until your next turn, those creatures attack each combat if able and attack a player other than you if able.)"
335,Ignite the Future,"Exile the top three cards of your library. Until the end of your next turn, you may play those cards. If this spell was cast from a graveyard, you may play cards this way without paying their mana costs.
Flashback {7}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
336,Light Up the Stage,"Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Exile the top two cards of your library. Until the end of your next turn, you may play those cards."
337,Rile,"Rile deals 1 damage to target creature you control. That creature gains trample until end of turn.
Draw a card."
338,Throes of Chaos,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)"
