,name,text
290,Echoing Courage,Target creature and all other creatures with the same name as that creature get +2/+2 until end of turn.
291,Lull,"Prevent all combat damage that would be dealt this turn.
Cycling {2} ({2}, Discard this card: Draw a card.)"
292,Plummet,Destroy target creature with flying.
293,Summoner's Pact,"Search your library for a green creature card, reveal it, put it into your hand, then shuffle.
At the beginning of your next upkeep, pay {2}{G}{G}. If you don't, you lose the game."
294,Boros Charm,"Choose one —
• Boros Charm deals 4 damage to target player or planeswalker.
• Permanents you control gain indestructible until end of turn.
• Target creature gains double strike until end of turn."
295,Eladamri's Call,"Search your library for a creature card, reveal that card, put it into your hand, then shuffle."
296,Alley Evasion,"Choose one —
• Target creature you control gets +1/+2 until end of turn.
• Return target creature you control to its owner's hand."
297,Decommission,"Destroy target artifact or enchantment.
Revolt — If a permanent you controlled left the battlefield this turn, you gain 3 life."
298,Deft Dismissal,"Deft Dismissal deals 3 damage divided as you choose among one, two, or three target attacking or blocking creatures."
299,Disallow,"Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)"
300,Illusionist's Stratagem,"Exile up to two target creatures you control, then return those cards to the battlefield under their owner's control.
Draw a card."
301,Leave in the Dust,"Return target nonland permanent to its owner's hand.
Draw a card."
302,Negate,Counter target noncreature spell.
303,Take into Custody,Tap target creature. It doesn't untap during its controller's next untap step.
304,Whir of Invention,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Search your library for an artifact card with mana value X or less, put it onto the battlefield, then shuffle."
305,Cruel Finality,Target creature gets -2/-2 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
306,Perilous Predicament,Each opponent sacrifices an artifact creature and a nonartifact creature.
307,Renegade's Getaway,"Target permanent gains indestructible until end of turn. Create a 1/1 colorless Servo artifact creature token. (Effects that say ""destroy"" don't destroy a permanent with indestructible, and if it's a creature, it can't be destroyed by damage.)"
308,Hungry Flames,Hungry Flames deals 3 damage to target creature and 2 damage to target player or planeswalker.
309,Invigorated Rampage,"Choose one —
• Target creature gets +4/+0 and gains trample until end of turn.
• Two target creatures each get +2/+0 and gain trample until end of turn."
310,Precise Strike,Target creature gets +1/+0 and gains first strike until end of turn.
311,Heroic Intervention,Permanents you control gain hexproof and indestructible until end of turn.
312,Highspire Infusion,Target creature gets +3/+3 until end of turn. You get {E}{E} (two energy counters).
313,Lifecraft Awakening,"Put X +1/+1 counters on target artifact you control. If it isn't a creature or Vehicle, it becomes a 0/0 Construct artifact creature."
314,Lifecrafter's Gift,"Put a +1/+1 counter on target creature, then put a +1/+1 counter on each creature you control with a +1/+1 counter on it."
315,Natural Obsolescence,Put target artifact on the bottom of its owner's library.
316,Revivify,"Roll a d20 and add the number of creature cards in your graveyard that were put there from the battlefield this turn.
1—14 | Return all creature cards in your graveyard that were put there from the battlefield this turn to your hand.
15+ | Return those cards from your graveyard to the battlefield."
317,Diviner's Portent,"Roll a d20 and add the number of cards in your hand.
1—14 | Draw X cards.
15+ | Scry X, then draw X cards."
318,Grave Endeavor,"Roll two d10 and choose one result. Return a creature card from your graveyard to the battlefield with a number of +1/+1 counters on it equal to that result. Then each opponent loses X life and you gain X life, where X is the other result."
319,Hellish Rebuke,"Until end of turn, permanents your opponents control gain ""When this permanent deals damage to the player who cast Hellish Rebuke, sacrifice this permanent. You lose 2 life."""
320,Berserker's Frenzy,"Cast this spell only before combat or during combat before blockers are declared.
Roll two d20 and ignore the lower roll.
1—14 | Choose any number of creatures. They block this turn if able.
15—20 | You choose which creatures block this turn and how those creatures block."
321,Song of Inspiration,"Choose up to two target permanent cards in your graveyard. Roll a d20 and add the total mana value of those cards.
1—14 | Return those cards to your hand.
15+ | Return those cards to your hand. You gain life equal to their total mana value."
322,Hurl Through Hell,"Exile target creature. Until the end of your next turn, you may cast that card and you may spend mana as though it were mana of any color to cast that spell."
323,Klauth's Will,"Choose one. If you control a commander as you cast this spell, you may choose both.
• Breathe Flame — Klauth's Will deals X damage to each creature without flying.
• Smash Relics — Destroy up to X target artifacts and/or enchantments."
324,Ride the Avalanche,"The next spell you cast this turn can be cast as though it had flash. When you cast your next spell this turn, put X +1/+1 counters on up to one target creature, where X is the mana value of that spell."
325,Commune with Lava,"Exile the top X cards of your library. Until the end of your next turn, you may play those cards."
326,Magmaquake,Magmaquake deals X damage to each creature without flying and each planeswalker.
327,Spit Flame,"Spit Flame deals 4 damage to target creature.
Whenever a Dragon enters the battlefield under your control, you may pay {R}. If you do, return Spit Flame from your graveyard to your hand."
328,Beast Within,Destroy target permanent. Its controller creates a 3/3 green Beast creature token.
329,Decree of Savagery,"Put four +1/+1 counters on each creature you control.
Cycling {4}{G}{G} ({4}{G}{G}, Discard this card: Draw a card.)
When you cycle Decree of Savagery, you may put four +1/+1 counters on target creature."
330,Kindred Summons,"Choose a creature type. Reveal cards from the top of your library until you reveal X creature cards of the chosen type, where X is the number of creatures you control of that type. Put those cards onto the battlefield, then shuffle the rest of the revealed cards into your library."
331,Return of the Wildspeaker,"Choose one —
• Draw cards equal to the greatest power among non-Human creatures you control.
• Non-Human creatures you control get +3/+3 until end of turn."
332,Return to Nature,"Choose one —
• Destroy target artifact.
• Destroy target enchantment.
• Exile target card from a graveyard."
